Sex;Ancestry;PH.Lesion.status;CO.R.Lesion.status;CO.L.Lesion.Status;Tib.L.lesion.status;Tib.R.lesion.status;AgeGroup;PH.Severity;CO.R.Severity;CO.L.Severity;Tib.L.Severity;Tib.R.severity;FL.Left;FL.Right;T1.AP;T1.TR;T2.AP;T2.TR;T3.AP;T3.TR;T4.AP;T4.TR;T5.AP;T5.TR;T6.AP;T6.TR;T7.AP;T7.TR;T8.AP;T8.TR;T9.AP;T9.TR;T10.AP;T10.TR;T11.TR;T12.TR;L1.TR;L2.TR;L3.AP;L3.TR
M;;H;0;;H;;4;1;0;0;1;1;449;;;20.47;13.82;17.55;14.69;15.77;15.27;16.34;13.73;;;;;;13.09;;12.39;17.11;;;17.03;20.15;22.9;;;
F;W;;0;0;0;;2;0;;0;0;0;415;415;13.28;20.47;;18.29;13.78;17.22;13.65;17.46;14.07;16.28;;;14.77;14.98;14.4;;14.45;16.57;15.49;;19.58;22.43;22.51;;16.91;23.04
M;;0;;;;;2;;;;;1;448;;15.17;;16.27;;;;17.4;;;;;16.35;;17.86;17.6;;16.92;20.27;;20.3;;24.75;26.2;;;26.94
M;W;;0;0;H;0;2;;0;0;;0;459;;;20.17;;17.06;15.21;;15.55;14.44;15.95;;15.14;14.1;;;15.92;15.34;;;16.58;16.14;17.8;22.39;23.84;;;24.18
;W;H;;;;0;3;0;0;0;;;458;;;21.68;;18.59;15.87;17.57;;;16.98;16.4;;;16.61;16.76;17.13;17.04;17.09;17.63;18.23;;;;25.16;;;
;;H;;;;H;2;0;;1;;1;;412;14.84;20.92;;18.22;15.42;17.54;16.38;;17.18;;16.7;;16.1;17.62;;;16.51;17.5;16.63;17.3;18.59;20.3;21.59;22.35;;21.78
F;B;0;0;0;0;0;2;0;0;0;;;426;421;;20.9;14.48;17.12;14.31;16.39;14.72;16.14;15.12;;;;14.71;15.33;14.29;15.81;15.15;15.78;14.68;15.81;15.57;;18.22;18.84;16.02;19.73
F;B;0;0;0;0;H;4;0;0;;0;1;425;421;13.04;21.24;;17.31;14.87;;15.27;14.12;15.67;14.08;;13.88;14.67;;15.58;14.6;15.69;;15.76;14.97;15.79;18.22;;18.67;;18.32
M;W;0;;0;;H;3;0;0;0;;;451;454;16.33;22.68;;20.53;17.3;20.16;;19.48;;;18.53;;19.26;;19.65;23.6;;22.93;;21.91;;24.4;;;20.95;
F;W;0;0;0;0;0;1;0;0;0;0;0;384;386;12.25;19.25;12.83;16.05;12.58;14.46;;13.77;13.47;13.03;12.46;13.05;13.51;13.15;12.87;13.43;13.36;13.42;13.83;13.95;15.11;17.01;;19.56;;19.04
M;;0;;0;0;;3;0;;;;0;;426;15.71;22.92;;;16.2;18.52;;17.14;16.56;16.85;;16.67;;16.84;;;17.1;;17.04;;17.88;20.35;22.72;;16.18;22.82
;B;0;0;0;;H;2;0;0;0;1;;459;465;13.91;;14.74;;14.57;16.33;14.81;15.78;15.45;15.48;15.93;;;15.08;;;;15.21;14.9;15.88;;19.81;;;16.31;
F;B;;0;0;H;H;1;0;;;1;1;424;425;13.47;18.59;14;16.55;14.54;;13.63;13.74;14.19;12.8;14.01;12.52;13.19;;13.44;12.83;14.15;13.18;13.49;14.41;15.76;18.17;20.88;21.38;;
;W;H;0;0;H;;2;1;;0;1;1;448;442;13.84;20.54;;17.98;15.16;16.49;15.17;16.14;15.22;16.44;16.04;;;15.21;15.24;;15.17;15.16;15.44;;;19.96;21.96;20.53;16.03;21.21
F;;;0;0;;0;2;1;0;0;;;395;393;14.09;20.04;14.75;17.97;14.53;16.28;14.65;15.45;;14.17;15.18;;14.76;15.19;14.7;15.89;14.62;16.19;15.13;;17.13;;21.21;21.96;;22.62
M;W;0;;;0;0;1;;0;1;0;0;420;;13.95;;13.9;17.93;;16.78;14.16;16.41;14.57;;14.01;;14.51;15.77;14.26;;14.32;15.91;14.78;15.86;17.17;20.26;;21.88;15.56;21.23
F;W;;;0;H;H;2;0;0;0;1;1;391;;13.81;20.03;;16.42;;;;16.04;14.46;15.33;;15.84;14.39;15.44;14.3;;14.07;;;;;17.96;20.03;;14.7;20.34
M;;0;0;0;;0;1;;0;0;0;;;;;21.51;;;15.36;17.68;15.33;16.89;15.96;;15.69;16.79;;16.38;;;16.72;17.39;16.77;17.47;;;22.7;22.67;17.63;23.32
F;W;;;0;;;2;0;;;1;1;;386;13.97;22.12;15.4;20.01;16.17;;16.37;18.3;;18.45;16.91;;15.63;17.44;16.35;17.69;16.08;17.59;16.33;;19.28;22.09;;;18.82;23.47
M;W;H;0;;;H;;;0;0;1;1;;;14.11;;14.01;16.34;13.24;15.84;14.34;15.02;14.81;14.91;;13.86;12.99;13.82;;14.22;12.81;14.05;;;15.82;;22.96;;14.3;
M;W;;H;H;;0;3;;1;;;0;410;406;;22.85;15.2;20.02;;18.66;;17.19;15.52;16.47;16.07;16.95;15.66;;15.4;17.29;14.92;;14.57;;17.98;21.56;;25.09;15.16;24.7
M;W;H;H;H;M;M;3;1;1;1;;1;503;;;20.68;;18.48;;;14.67;;;15.68;14.18;;;;14.41;;14.93;15.92;;16.1;16.96;19.88;22.86;;;
M;W;;0;0;M;M;1;0;;;;2;;;13.93;20.74;14.74;17.46;15.35;16.34;;;15.86;16.53;16.53;;15.89;16.6;15.19;;14.8;17.5;14.98;17.22;19.04;;;21.52;14.7;
;W;0;0;;M;;4;0;;;3;;;481;;26.84;;;16.78;20.35;;18.71;17.22;18.15;;;;19.42;;;;20.29;17.08;;22.68;26.53;30.12;;21.91;
;W;;0;0;0;0;2;;;0;0;;419;417;16.72;22.26;;17.13;16.24;16.86;17;15.92;16.79;15.15;15.29;14.96;15.69;14.61;15.17;;14.72;;14.13;15.13;17.15;;20.71;;13.7;21.03
;;0;;0;H;;1;;;0;1;1;489;410;16.1;;15.83;;16.7;18.32;;;;;16.43;;16.17;16.45;;16.38;16.42;17.28;15.73;16.78;;;22.02;21.75;15.7;22.09
M;B;;0;0;H;H;2;0;;0;1;1;503;501;14.19;;13.8;16.75;14;14.65;13.13;14.3;13.76;14.33;13.71;14.14;;14.24;;14.18;13.66;15.28;14.21;;16.48;19.66;;21.99;;22.62
M;B;0;;;0;A;1;0;0;0;0;;449;448;14.47;19.01;13.1;16.38;12.69;15.83;12.42;15.3;13.64;;13.09;14.41;;13.95;13.56;14.59;13.42;14.83;15.42;14.81;16.35;;19.92;;14.51;20
M;W;;;;H;M;2;;0;;1;1;457;;;21.69;;18.38;;17.69;;17.21;15.58;16.73;15.81;;16.31;17.16;;16.96;;16.99;;16.94;17.71;;;;15.47;24.39
M;W;;0;0;;;3;0;0;;;1;465;462;;21.34;;19.86;;18.55;14.32;18.49;13.91;17.46;;;13.78;;12.95;16.19;;;;;17.58;;21.51;22.2;;
;;0;0;H;H;H;2;;;;1;;486;481;14.35;20.88;;;14.14;16.85;15.22;16.03;16.13;;;15.33;;15.24;16.35;15.24;16.19;16;;17.64;19.78;23.22;23.78;;;22.51
F;W;0;H;;;;2;0;1;1;;0;;396;;20.43;13.09;18.1;13.75;16.52;13.86;;14.21;15.97;14.02;15.58;14.68;15.53;14.83;16.67;14.48;;14.45;;;19.81;21.1;20.84;14.35;21.16
;W;0;0;0;H;H;2;0;0;0;;;486;488;15.39;;15.04;17.42;;15.54;14.86;14.96;17.04;;17.32;14.94;;15.35;15.31;16.12;;;;16.31;17.6;19.99;21.93;;17.91;
;;0;;;;0;2;0;0;1;;;474;470;15.22;22.62;;;;17.94;;16.92;;;15.6;16.32;;16.77;;17.35;;;;;19.71;22.71;22.55;22.51;;21.94
M;;;;;M;0;2;;;0;1;;;;15.25;23.18;16.48;20.45;;18.17;17.3;17.28;18.1;;18.28;;18.11;17.14;;;18.38;17.8;18.59;18.23;20.24;24.55;27.07;;;
M;B;H;;;0;;1;1;0;;0;;;460;16.21;24.93;15.12;20.3;14.45;18.53;14.42;18.26;14.04;;14.26;;14.75;;;19.46;14.69;19.57;;18.43;;20.96;21.67;23.02;14.23;
M;W;0;0;;0;H;2;0;0;0;0;1;465;465;14.17;19.31;13.71;16.89;13.34;;13.35;15.53;13.17;15.8;13.73;15.91;13.34;15.87;;16.08;14.12;15.73;13.23;15.64;16.77;19.81;21.56;;14.17;21.88
