Sex;Ancestry;PH.Lesion.status;CO.R.Lesion.status;CO.L.Lesion.Status;Tib.L.lesion.status;Tib.R.lesion.status;AgeGroup;PH.Severity;CO.R.Severity;CO.L.Severity;Tib.L.Severity;Tib.R.severity;FL.Left;FL.Right;T1.AP;T1.TR;T2.AP;T2.TR;T3.AP;T3.TR;T4.AP;T4.TR;T5.AP;T5.TR;T6.AP;T6.TR;T7.AP;T7.TR;T8.AP;T8.TR;T9.AP;T9.TR;T10.AP;T10.TR;T11.TR;T12.TR;L1.TR;L2.TR;L3.AP;L3.TR
M;W;;0;0;H;H;;1;0;;;1;;445;12.96;20.47;13.82;17.55;14.69;15.77;15.27;16.34;13.73;;14.38;17.03;;;;17.22;12.39;17.11;13.1;15.96;17.03;20.15;;;12.47;
F;W;0;;0;0;0;2;;0;0;0;0;415;415;13.28;20.47;13.29;;13.78;17.22;13.65;17.46;14.07;16.28;14.09;15.43;14.77;14.98;14.4;16.29;;16.57;;17.79;19.58;22.43;22.51;22.16;;
;W;0;;H;0;M;2;0;2;;0;1;448;451;15.17;22.04;16.27;;;18.12;;17.54;17.43;17.53;16.74;;17.76;;17.6;;16.92;;;20.3;22.79;;;25.87;15.92;
;;0;0;;H;0;;0;0;;;0;459;457;14.74;20.17;14.89;17.06;15.21;15.4;15.55;14.44;15.95;14.07;15.14;14.1;15.89;14.12;;15.34;15.39;16.39;16.58;16.14;17.8;;23.84;;14.39;
M;W;;0;0;H;0;3;0;0;0;;0;458;456;16.11;21.68;;18.59;15.87;17.57;15.95;17;16.98;16.4;16.95;16.61;16.61;16.76;17.13;17.04;17.09;;;18.43;19.5;;25.16;24.8;15.77;24.37
F;W;;;;;H;2;0;1;1;1;1;415;412;14.84;20.92;15.06;18.22;;17.54;16.38;;;;16.7;;16.1;;16.45;17.63;;17.5;;17.3;;20.3;21.59;22.35;;21.78
F;B;0;0;0;;0;2;0;0;0;;0;426;421;14.28;20.9;14.48;17.12;14.31;16.39;14.72;16.14;15.12;;15.09;15.64;14.71;15.33;14.29;15.81;15.15;;14.68;15.81;15.57;17.95;18.22;18.84;16.02;19.73
F;B;0;0;0;0;H;4;0;;;0;1;425;421;13.04;;13.34;17.31;14.87;15.17;15.27;14.12;15.67;14.08;;;14.67;14.25;15.58;14.6;15.69;14.83;15.76;14.97;15.79;18.22;18.49;18.67;13.29;18.32
M;W;0;0;0;H;H;3;0;0;0;;1;451;454;16.33;22.68;16.88;;17.3;20.16;;;;20.44;;;19.26;22.57;19.65;;;;;21.91;;24.4;;26.48;;26.7
F;;0;0;0;0;0;1;0;0;0;0;0;384;386;12.25;19.25;12.83;16.05;12.58;14.46;13.12;13.77;13.47;13.03;12.46;13.05;13.51;13.15;12.87;13.43;13.36;13.42;13.83;13.95;15.11;17.01;19.24;19.56;12.44;19.04
;;0;0;0;0;0;;0;0;0;0;0;423;426;15.71;22.92;;19.93;;18.52;;17.14;;16.85;;16.67;;16.84;16.35;17.04;17.1;;;17.25;17.88;20.35;22.72;23.1;16.18;
M;B;0;0;0;;H;2;0;0;0;;;459;465;13.91;23;14.74;18.58;14.57;16.33;;15.78;15.45;15.48;;15.17;14.61;15.08;15.56;15.04;14.99;15.21;14.9;15.88;16.64;19.81;23.13;22.85;16.31;23.67
F;B;0;0;0;;H;1;0;0;0;;;424;425;13.47;18.59;14;16.55;14.54;15.08;13.63;13.74;14.19;12.8;14.01;12.52;13.19;12.65;13.44;12.83;14.15;13.18;13.49;14.41;15.76;18.17;;21.38;14.29;20.45
F;W;H;0;0;H;;2;;0;0;1;1;;442;13.84;20.54;14.98;;15.16;16.49;15.17;16.14;;;;15.57;15.48;;15.24;;15.17;15.16;;14.8;16.97;19.96;21.96;20.53;16.03;21.21
F;W;H;0;0;;0;2;1;0;0;1;0;395;393;14.09;20.04;14.75;17.97;14.53;16.28;14.65;15.45;16.11;14.17;15.18;15.15;14.76;;14.7;15.89;14.62;16.19;15.13;15.93;;19.08;21.21;21.96;16.29;22.62
M;;0;;;;0;1;;;1;0;;420;427;13.95;21.22;13.9;17.93;13.69;16.78;14.16;16.41;14.57;15.26;;15.55;14.51;15.77;14.26;15.67;14.32;15.91;;15.86;17.17;20.26;22.19;21.88;15.56;21.23
F;W;0;0;0;;H;2;0;0;0;;1;391;397;;20.03;13.76;16.42;;15.88;14.09;16.04;14.46;15.33;14.26;15.84;;15.44;14.3;15.39;14.07;15.18;14.19;15.31;15.23;17.96;20.03;;14.7;20.34
M;W;0;0;;0;0;1;0;0;0;0;0;;446;15.82;21.51;15.03;;15.36;17.68;15.33;16.89;15.96;16.73;15.69;16.79;16.3;16.38;16.06;17.05;16.72;17.39;16.77;17.47;;;22.7;22.67;17.63;23.32
F;W;H;0;;M;;2;0;0;0;;1;388;386;;22.12;;;16.17;;;18.3;17.56;;16.91;;;;16.35;;16.08;17.59;16.33;;19.28;;23.75;23.8;;23.47
M;W;H;0;0;;H;3;;0;0;;1;451;455;;19.49;14.01;16.34;13.24;15.84;14.34;;;14.91;12.69;13.86;12.99;13.82;13.2;14.22;12.81;14.05;12.85;;15.82;19.91;;23.11;14.3;23.36
M;W;0;H;H;0;0;3;0;1;1;0;0;410;406;13.97;22.85;15.2;20.02;15.13;18.66;;;15.52;16.47;;16.95;;17.5;15.4;17.29;14.92;17.74;14.57;;17.98;21.56;25.04;;15.16;
M;W;;H;;M;M;3;1;1;1;;1;503;;13.9;;14.44;18.48;14.21;17.06;;16.48;15.03;15.68;14.18;15.05;14.13;15.71;;15.23;14.93;15.92;15.03;16.1;;19.88;22.86;21.09;15.72;21.7
;W;;0;0;M;M;;0;;;;;462;458;13.93;;14.74;17.46;15.35;16.34;15.59;;15.86;;16.53;16.22;15.89;16.6;15.19;16.68;14.8;17.5;14.98;;19.04;21.88;21.91;21.52;14.7;21.36
M;W;0;;0;M;0;;0;0;;3;0;;481;;;16.87;;16.78;20.35;16.61;18.71;;18.15;16.58;;;19.42;16.55;;16.45;20.29;17.08;;;;30.12;30.5;;
M;W;;0;0;0;0;2;0;0;0;0;0;419;417;16.72;22.26;15.75;17.13;;16.86;17;15.92;;15.15;15.29;14.96;15.69;14.61;15.17;14.12;14.72;14.5;14.13;15.13;17.15;;20.71;20.54;13.7;21.03
M;;0;0;0;H;H;1;0;0;0;;;489;410;16.1;21.78;15.83;19.75;16.7;18.32;16.94;16.49;16.56;15.96;;;16.17;;16.02;16.38;16.42;;;16.78;17.32;20.49;22.02;21.75;15.7;22.09
M;B;;0;;H;H;2;0;0;0;;;503;501;;20.31;13.8;16.75;14;14.65;13.13;14.3;13.76;14.33;13.71;14.14;13;14.24;14.36;14.18;13.66;15.28;;15.56;16.48;19.66;21.22;21.99;15.37;22.62
;B;0;0;;0;A;1;0;0;;0;;449;448;14.47;19.01;;16.38;12.69;15.83;12.42;15.3;13.64;;13.09;14.41;13.4;13.95;13.56;14.59;13.42;14.83;15.42;14.81;16.35;18.16;19.92;20.34;14.51;20
M;W;;0;0;H;M;2;2;0;0;;;;;;;15.62;;15.25;17.69;15.5;17.21;15.58;16.73;15.81;16.88;;;15.76;16.96;;;;16.94;17.71;20.94;;;15.47;24.39
