Sex;Ancestry;PH.Lesion.status;CO.R.Lesion.status;CO.L.Lesion.Status;Tib.L.lesion.status;Tib.R.lesion.status;AgeGroup;PH.Severity;CO.R.Severity;CO.L.Severity;Tib.L.Severity;Tib.R.severity;FL.Left;FL.Right;T1.AP;T1.TR;T2.AP;T2.TR;T3.AP;T3.TR;T4.AP;T4.TR;T5.AP;T5.TR;T6.AP;T6.TR;T7.AP;T7.TR;T8.AP;T8.TR;T9.AP;T9.TR;T10.AP;T10.TR;T11.TR;T12.TR;L1.TR;L2.TR;L3.AP;L3.TR
M;;;;;H;;;;0;0;1;1;;445;;20.47;13.82;17.55;;15.77;;16.34;;15.99;;17.03;13.62;;13.09;17.22;12.39;17.11;;15.96;17.03;20.15;22.9;23.35;12.47;24.09
F;;0;0;0;0;;2;;0;0;0;0;415;;13.28;20.47;13.29;18.29;;17.22;13.65;;14.07;16.28;;15.43;14.77;14.98;14.4;;14.45;;15.49;17.79;;22.43;;22.16;16.91;23.04
M;W;;H;;0;M;;;;;;;448;;15.17;;16.27;18.64;16.43;;;;17.43;;16.74;16.35;17.76;;;19.4;;;;;;24.75;;;15.92;26.94
M;;;0;0;;0;;0;;;1;;459;;;;14.89;;;15.4;;;15.95;;15.14;14.1;15.89;;;;15.39;16.39;16.58;16.14;17.8;22.39;;23.96;14.39;24.18
;;;;0;H;;3;;;;;;;;;21.68;16.29;18.59;;17.57;;;16.98;;16.95;16.61;16.61;16.76;;;;17.63;18.23;;19.5;22.76;;;;
;;;;H;M;;;;1;;1;;;412;;20.92;;;;17.54;16.38;;17.18;17.75;16.7;17.36;16.1;17.62;16.45;;16.51;;;;18.59;20.3;;;;21.78
F;;;;0;0;0;2;0;0;;0;;426;421;14.28;20.9;14.48;17.12;14.31;16.39;14.72;;15.12;15.85;15.09;15.64;14.71;15.33;14.29;15.81;15.15;;14.68;15.81;15.57;17.95;;18.84;16.02;
F;B;0;0;0;0;H;;0;0;;0;;425;421;13.04;21.24;13.34;;14.87;;;14.12;;;14.87;;14.67;;15.58;14.6;;;;14.97;15.79;18.22;18.49;;;18.32
M;W;;;;H;;;0;0;;;1;;;;;16.88;20.53;17.3;20.16;;19.48;18.94;;18.53;;;;19.65;;19.33;22.93;;;;24.4;;;20.95;
F;W;0;0;0;0;0;1;0;0;0;0;0;384;386;;19.25;;16.05;12.58;14.46;13.12;13.77;13.47;13.03;12.46;;13.51;13.15;12.87;13.43;13.36;;;13.95;;17.01;19.24;19.56;12.44;19.04
M;;;;0;0;0;3;;0;;0;;;;15.71;22.92;16.13;19.93;16.2;18.52;16.51;17.14;16.56;;;16.67;16.26;16.84;16.35;;17.1;17.81;17.04;;17.88;20.35;;23.1;16.18;22.82
;B;0;;0;;H;;0;;;1;1;459;465;13.91;23;14.74;18.58;14.57;;14.81;;15.45;15.48;15.93;15.17;;15.08;15.56;;14.99;15.21;14.9;15.88;16.64;;23.13;22.85;16.31;23.67
F;B;;0;0;H;H;1;0;;0;1;1;424;425;13.47;18.59;14;;14.54;15.08;;13.74;;12.8;14.01;;13.19;12.65;13.44;12.83;;13.18;;14.41;15.76;18.17;20.88;;;20.45
;W;H;;0;;H;2;1;0;0;1;1;448;;;20.54;;;15.16;16.49;15.17;;;16.44;16.04;;15.48;;15.24;15.36;;15.16;15.44;;;;21.96;20.53;;
F;;H;;;M;0;2;1;;;1;0;395;393;;20.04;14.75;17.97;14.53;16.28;14.65;15.45;;;15.18;;14.76;15.19;14.7;;14.62;16.19;;;;19.08;21.21;;;22.62
M;W;0;0;;0;0;;0;;1;0;0;420;;13.95;;;17.93;13.69;16.78;14.16;16.41;14.57;15.26;14.01;15.55;;15.77;14.26;15.67;14.32;;;15.86;17.17;20.26;22.19;21.88;15.56;
F;W;;0;;H;;;0;0;0;;1;391;397;;20.03;13.76;16.42;;15.88;14.09;;14.46;;14.26;15.84;14.39;15.44;14.3;;14.07;;;;;17.96;20.03;;;20.34
M;W;0;;0;0;;;0;;;;0;454;446;;21.51;;18.83;15.36;17.68;15.33;;;16.73;15.69;16.79;16.3;;16.06;;16.72;;;17.47;18.29;;22.7;22.67;;23.32
F;;H;;;M;;;0;;0;;1;;386;13.97;22.12;;20.01;16.17;19.33;16.37;18.3;17.56;18.45;;;15.63;;16.35;;16.08;;;17.82;;22.09;23.75;23.8;;23.47
M;W;H;0;;;H;3;;0;;1;1;451;455;14.11;;14.01;16.34;;;;15.02;;14.91;12.69;;12.99;13.82;13.2;;;14.05;12.85;;15.82;19.91;;;;
M;W;0;;H;;;;0;1;;;;410;;;22.85;;20.02;15.13;;;;15.52;;;16.95;15.66;17.5;;17.29;14.92;17.74;;;17.98;;;25.09;15.16;24.7
M;W;H;H;H;M;;;1;;;1;;503;;13.9;20.68;14.44;18.48;14.21;;;16.48;;;;;;15.71;14.41;;14.93;;;;;;;;15.72;
M;W;;0;;M;M;1;0;;0;;2;462;;13.93;20.74;;;15.35;16.34;15.59;;15.86;16.53;16.53;;;16.6;;16.68;;17.5;14.98;17.22;19.04;21.88;;;;21.36
;W;0;;;;;;;0;0;;;481;;;26.84;;;16.78;20.35;;;17.22;18.15;;;16.48;19.42;;;;20.29;17.08;20.37;;26.53;;;;30.1
;W;;0;0;0;;2;0;0;;0;;419;417;;22.26;15.75;17.13;16.24;16.86;17;15.92;;;15.29;14.96;15.69;14.61;15.17;;14.72;;;;17.15;19.66;20.71;20.54;13.7;21.03
;W;;;0;;H;;;0;;1;;;410;;21.78;15.83;;;;16.94;;16.56;15.96;;;16.17;16.45;;;;;;16.78;;;22.02;21.75;;22.09
M;B;H;0;0;H;H;2;0;;0;;1;503;501;14.19;;;;14;;13.13;14.3;13.76;14.33;;14.14;;;14.36;14.18;13.66;15.28;;15.56;16.48;19.66;21.22;21.99;;22.62
M;B;0;;0;0;A;1;0;0;0;0;;449;448;14.47;;;16.38;12.69;;;15.3;13.64;14.56;13.09;14.41;;13.95;;;13.42;;;14.81;16.35;18.16;19.92;20.34;14.51;20
;W;;0;0;;M;2;;;0;;;457;455;;21.69;;;15.25;;15.5;;;16.73;15.81;;16.31;17.16;;16.96;;16.99;;;17.71;;22.83;;15.47;24.39
