Sex;Ancestry;PH.Lesion.status;CO.R.Lesion.status;CO.L.Lesion.Status;Tib.L.lesion.status;Tib.R.lesion.status;AgeGroup;PH.Severity;CO.R.Severity;CO.L.Severity;Tib.L.Severity;Tib.R.severity;FL.Left;FL.Right;T1.AP;T1.TR;T2.AP;T2.TR;T3.AP;T3.TR;T4.AP;T4.TR;T5.AP;T5.TR;T6.AP;T6.TR;T7.AP;T7.TR;T8.AP;T8.TR;T9.AP;T9.TR;T10.AP;T10.TR;T11.TR;T12.TR;L1.TR;L2.TR;L3.AP;L3.TR
M;;H;0;0;;H;4;1;0;0;1;1;449;445;12.96;20.47;13.82;;;15.77;15.27;16.34;13.73;15.99;14.38;17.03;13.62;17.96;13.09;17.22;12.39;;13.1;;17.03;20.15;;23.35;12.47;
F;;0;;0;;;2;0;0;0;;0;415;415;13.28;20.47;13.29;;13.78;;13.65;;14.07;;14.09;15.43;14.77;;14.4;16.29;14.45;16.57;15.49;17.79;;22.43;22.51;22.16;16.91;23.04
;W;0;H;H;;;;0;;;0;1;448;451;;;16.27;;16.43;18.12;17.4;17.54;17.43;;16.74;16.35;;17.86;;19.4;16.92;20.27;17.04;;22.79;;26.2;;15.92;
;;0;0;0;H;0;2;0;0;0;1;0;459;457;14.74;20.17;14.89;17.06;15.21;15.4;15.55;14.44;15.95;14.07;15.14;14.1;15.89;;15.92;15.34;15.39;;16.58;;;;;23.96;14.39;
M;W;;0;0;;0;;0;0;0;;0;458;456;;21.68;16.29;;;17.57;15.95;;16.98;16.4;;;;16.76;;;17.09;17.63;18.23;18.43;19.5;22.76;;24.8;15.77;24.37
F;W;H;;;M;;;;;1;;;415;;;20.92;15.06;;15.42;;;;17.18;17.75;16.7;17.36;16.1;;;;16.51;17.5;16.63;;;20.3;21.59;22.35;;21.78
F;B;;;0;0;0;2;0;0;0;;0;426;421;14.28;20.9;14.48;17.12;;16.39;14.72;16.14;15.12;;15.09;15.64;14.71;15.33;14.29;;;15.78;;15.81;15.57;17.95;18.22;18.84;16.02;19.73
F;B;0;0;0;0;H;;;0;0;;1;425;421;13.04;;13.34;17.31;14.87;15.17;;14.12;;14.08;14.87;13.88;14.67;14.25;15.58;14.6;;14.83;;14.97;;18.22;18.49;18.67;13.29;18.32
;;0;;0;H;H;3;0;;0;1;1;451;454;;;16.88;;17.3;;;19.48;;;;;19.26;;19.65;;;;17.61;21.91;;24.4;25.99;;20.95;26.7
F;;0;0;0;0;0;1;0;0;0;0;0;384;386;12.25;19.25;12.83;16.05;12.58;14.46;13.12;13.77;13.47;13.03;12.46;13.05;13.51;13.15;;13.43;13.36;13.42;13.83;13.95;15.11;17.01;19.24;19.56;12.44;19.04
;;0;;0;0;0;;0;;0;;0;423;426;15.71;22.92;;19.93;16.2;;;;;;15.98;16.67;16.26;16.84;;17.04;;;;17.25;;;;;;22.82
;B;0;0;0;;;2;0;;0;;1;459;;13.91;23;14.74;18.58;14.57;16.33;14.81;15.78;15.45;15.48;15.93;15.17;14.61;15.08;15.56;15.04;14.99;15.21;14.9;15.88;;;23.13;;;23.67
F;B;0;0;;H;;1;0;;0;1;1;424;425;;18.59;14;;14.54;15.08;13.63;13.74;14.19;12.8;;12.52;;12.65;13.44;12.83;14.15;13.18;13.49;14.41;15.76;18.17;;;14.29;20.45
;;H;0;0;;H;;;;0;1;1;448;442;13.84;;14.98;17.98;15.16;16.49;15.17;;;;;15.57;15.48;15.21;;15.36;;15.16;15.44;;;19.96;;20.53;;21.21
F;W;H;;0;M;0;2;;0;0;;0;395;393;14.09;;14.75;;14.53;16.28;14.65;15.45;16.11;14.17;15.18;15.15;;15.19;14.7;;;16.19;;;17.13;19.08;21.21;21.96;;22.62
M;W;;0;H;;0;1;0;;1;0;;420;427;13.95;21.22;;17.93;13.69;16.78;14.16;16.41;14.57;15.26;14.01;;;15.77;14.26;;14.32;;14.78;;17.17;;22.19;21.88;15.56;21.23
F;;0;0;0;;H;2;;0;0;;;391;397;13.81;20.03;13.76;16.42;13.1;;14.09;;14.46;15.33;14.26;;;;14.3;15.39;14.07;15.18;;15.31;15.23;17.96;20.03;;14.7;20.34
M;W;0;0;0;0;;1;0;0;0;0;0;454;;15.82;;;18.83;;17.68;15.33;;15.96;;;;;16.38;;17.05;16.72;17.39;;17.47;18.29;20.69;22.7;;;23.32
F;W;H;;0;;M;2;0;0;0;1;1;388;386;13.97;22.12;15.4;;16.17;19.33;;18.3;;18.45;16.91;;;;;;16.08;;;17.82;19.28;;23.75;23.8;;23.47
M;;H;0;0;;H;;1;;0;;1;451;;;19.49;14.01;16.34;13.24;15.84;14.34;15.02;14.81;14.91;12.69;13.86;12.99;13.82;13.2;14.22;12.81;14.05;12.85;;15.82;19.91;22.96;23.11;14.3;23.36
M;W;0;H;;0;0;;0;1;1;0;0;410;406;;;;;;18.66;16.3;;;16.47;16.07;16.95;15.66;17.5;15.4;;14.92;;;;17.98;;;;;24.7
